station_id	station_name	lon	lat	altitude	station_type	x_coord	y_coord	record_status
06010	瓦加尔	-7.270	62.080			-5145029.5000	10498808.0000	0
06011	托尔斯港	-6.760	62.030			-5138778.5000	10469246.0000	0
06012	富格尔岛	-6.310	62.330			-5094276.5000	10460589.0000	0
06019		8.660	55.940			-5325460.5000	9285451.0000	0
06021	汉斯特霍尔姆	8.610	57.130			-5210093.5000	9364229.0000	0
06022	希拉奥斯特	4.810	55.730			-5479815.5000	9487277.0000	0
06023		4.780	55.590			-5494855.5000	9480637.0000	0
06024	齐斯泰兹	8.730	57.080			-5210841.5000	9354562.0000	0
06028		4.780	55.590			-5494855.5000	9480637.0000	0
06030	奥尔堡	9.860	57.110			-5167987.5000	9295966.0000	0
06031		9.960	57.190			-5156581.5000	9295879.0000	0
06033	希茨海尔斯	9.980	57.610			-5114620.0000	9322420.0000	0
06034	辛代尔	10.230	57.510			-5115585.0000	9302624.0000	0
06037		10.710	57.710			-5078884.5000	9290632.0000	0
06042		10.560	57.440			-5110677.5000	9280570.0000	0
06043	腓特烈港	10.530	57.440			-5111750.5000	9282153.0000	0
06044		10.330	56.990			-5162912.0000	9263023.0000	0
06047		11.460	57.480			-5074373.0000	9235923.0000	0
06048		10.130	56.730			-5195488.0000	9256637.0000	0
06051		8.330	56.780			-5254481.5000	9356969.0000	0
